#loop	basepoint	objectives	function
0	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.45455 	initial
51	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.2 0.5 0.5 0.4 0.5 0.7 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
52	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.2 0.5 0.5 0.4 0.5 0.75 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
53	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.2 0.5 0.5 0.4 0.5 0.8 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
54	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.2 0.5 0.5 0.4 0.5 0.85 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
55	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.2 0.5 0.5 0.4 0.5 0.9 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
56	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.2 0.5 0.5 0.4 0.5 0.95 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
57	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.15 0.5 0.5 0.4 0.5 0.95 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
58	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.1 0.5 0.5 0.4 0.5 0.95 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
59	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.05 0.5 0.5 0.4 0.5 0.95 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
60	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.2 0.5 0.5 0.4 0.5 0.6 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.32936 	IntMove
61	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.2 0.5 0.5 0.4 0.5 0.6 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
62	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.2 0.5 0.5 0.4 0.5 0.65 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
63	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.15 0.5 0.5 0.4 0.5 0.65 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
64	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.1 0.5 0.5 0.4 0.5 0.65 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.32936 	PatMove
65	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.1 0.5 0.5 0.4 0.5 0.65 0.7 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
66	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.1 0.5 0.5 0.4 0.5 0.7 0.7 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
67	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.1 0.5 0.5 0.4 0.5 0.75 0.7 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
68	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.1 0.5 0.5 0.4 0.5 0.8 0.7 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
69	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.1 0.5 0.5 0.4 0.5 0.85 0.7 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
70	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.1 0.5 0.5 0.4 0.5 0.9 0.7 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
71	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.1 0.5 0.5 0.4 0.5 0.95 0.7 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
72	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.05 0.5 0.5 0.4 0.5 0.95 0.7 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
73	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.5 0.5 0.4 0.5 0.95 0.7 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
74	0.5 0.5 0.5 0.5 0.5 0.45 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.5 0.5 0.4 0.5 0.95 0.7 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
75	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.1 0.5 0.5 0.4 0.5 0.65 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.32936 	IntMove
76	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.05 0.5 0.5 0.4 0.5 0.65 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
77	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.5 0.5 0.4 0.5 0.65 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.29805 	PatMove
78	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.45 0.5 0.4 0.5 0.65 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
79	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.4 0.5 0.4 0.5 0.65 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.26675 	PatMove
80	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.35 0.5 0.4 0.5 0.65 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
81	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.3 0.5 0.4 0.5 0.65 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.23543 	PatMove
82	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.3 0.5 0.4 0.5 0.7 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
83	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.25 0.5 0.4 0.5 0.7 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
84	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.2 0.5 0.4 0.5 0.7 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.21978 	PatMove
85	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.2 0.5 0.4 0.5 0.75 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
86	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.2 0.5 0.4 0.5 0.8 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.25109 	HJ_P_Move
87	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.15 0.5 0.4 0.5 0.8 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
88	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.1 0.5 0.4 0.5 0.8 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.21978 	PatMove
89	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0.05 0.5 0.4 0.5 0.8 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
90	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0 0.5 0.4 0.5 0.8 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.18846 	PatMove
91	0.5 0.5 0.5 0.5 0.5 0.45 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0 0.5 0.4 0.5 0.8 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
92	0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0 0.5 0.4 0.5 0.8 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.15714 	PatMove
93	0.5 0.5 0.5 0.5 0.5 0.35 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0 0.5 0.4 0.5 0.8 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
94	0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0 0.5 0.4 0.5 0.8 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.12582 	PatMove
95	0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0 0.45 0.4 0.5 0.8 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
96	0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0 0.4 0.4 0.5 0.8 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.09449 	PatMove
97	0.5 0.5 0.5 0.5 0.5 0.25 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0 0.4 0.4 0.5 0.8 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
98	0.5 0.5 0.5 0.5 0.5 0.2 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0 0.4 0.4 0.5 0.8 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.06317 	PatMove
99	0.5 0.5 0.5 0.5 0.5 0.15 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0 0 0.4 0.4 0.5 0.8 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
